id;fecha;precio;menu
3df51256-ff78-47c4-84a8-79214c1ce00a;2023-03-05T15:40:28;25178;81600
dd04a1b9-6180-44ac-99e8-555e71d58e22;2023-03-05T19:19:58;91791;70218
a319b92d-bb82-4448-abd1-4b967a56b5a9;2023-03-05T16:02:16;27333;93414
95b831fb-5e68-489f-b0c2-2a9664bd1603;2023-03-06T04:32:09;93664;19481
ccb1e774-403d-489a-b536-24940430c6d3;2023-03-06T04:59:28;16793;25864
04887baa-a0bb-4cfc-b697-5f05e32152f1;2023-03-05T19:07:03;94247;9139
0fe3a92a-5409-470a-b005-2d68156812f1;2023-03-06T09:45:32;21154;1774
8782dd4b-3f35-4eb5-83aa-b9d353ad26e2;2023-03-05T15:52:29;2320;18736
a9876c74-607a-4ad9-9480-a286e2d9f752;2023-03-05T13:33:43;8217;18605
e1924c01-68dd-404c-af55-ccef038afa6f;2023-03-05T19:34:19;84942;25002
